75,Universidad Autónoma de Tamaulipas,Mexico,http://www.uat.mx/
76,Universidad Autónoma de Tlaxcala,Mexico,http://www.uatx.mx/
77,Universidad del Bajío,Mexico,http://www.ubac.edu.mx/
78,Universidad del Centro de México,Mexico,http://www.ucem.edu.mx/
79,Universidad Cientifica Latinoamericana de Hidalgo,Mexico,http://www.uclah.edu.mx/
80,Universidad de Colima,Mexico,http://www.ucol.mx/
81,Universidad de Celaya,Mexico,http://www.udec.edu.mx/
82,Universidad de Cuautitlan Izcalli,Mexico,http://www.udeci.edu.mx/
83,Universidad de Hermosillo,Mexico,http://www.udeh.edu.mx/
84,Universidad de Monterrey,Mexico,http://www.udem.edu.mx/
85,Universidad de San Miguel,Mexico,http://www.udesanmiguel.edu.mx/
86,Universidad de Guadalajara,Mexico,http://www.udg.mx/
87,Universidad de las Américas,Mexico,http://www.udla.mx/
88,Universidad de las Américas - Puebla,Mexico,http://www.udlap.mx/
89,Universidad de Occidente,Mexico,http://www.udo.mx/
90,Universidad Don Vasco,Mexico,http://www.udv.edu.mx/
91,Universidad Franciscana de México,Mexico,http://www.ufm.edu.mx/
92,Universidad Franco-Mexicana,Mexico,http://www.ufram.edu.mx/
93,Universidad de Guanajuato,Mexico,http://www.ugto.mx/
94,Universidad Iberoamericana,Mexico,http://www.uia.mx/
95,Universidad Intercontinental,Mexico,http://www.uic.edu.mx/
96,Universidad Insurgentes Plantel León,Mexico,http://www.uileon.edu.mx/
97,Universidad Juárez Autónoma de Tabasco,Mexico,http://www.ujat.mx/
98,Universidad Juárez del Estado de Durango,Mexico,http://www.ujed.mx/
99,Universidad Justo Sierra,Mexico,http://www.ujsierra.mx/
100,Universidad Latinoamericana,Mexico,http://www.ula.edu.mx/
101,Universidad Lasallista Benavente,Mexico,http://www.ulsab.edu.mx/
102,Universidad La Salle Cuernavaca,Mexico,http://www.ulsac.edu.mx/
103,Universidad La Salle,Mexico,http://www.ulsa.edu.mx/
104,Universidad Madero,Mexico,http://www.umad.edu.mx/
105,Universidad México Americana del Norte,Mexico,http://www.uman.edu.mx/
106,Universidad del Mar,Mexico,http://www.umar.mx/
107,Universidad Michoacana de San Nicolás de Hidalgo,Mexico,http://www.umich.mx/
108,Universidad México Internacional,Mexico,http://www.umi.edu.mx/
109,Universidad Metropolitana Latin Campus,Mexico,http://www.umla.edu.mx/
110,Universidad Metropolitana de Monterrey,Mexico,http://www.umm.edu.mx/
111,Universidad Mexicana del Noreste,Mexico,http://www.umne.edu.mx/
112,Universidad de Montemorelos,Mexico,http://www.umontemorelos.edu.mx/
113,Universidad Mesoamericana de San Agustín,Mexico,http://www.umsa.edu.mx/
114,Universidad Autónoma del Carmen,Mexico,http://www.unacar.mx/
115,Universidad Autónoma de Chiapas,Mexico,http://www.unach.mx/
116,Universidad Nacional Autónoma de México,Mexico,http://www.unam.mx/
117,Universidad del Norte,Mexico,http://www.un.edu.mx/
118,Universidad del Noreste,Mexico,http://www.une.edu.mx/
119,Universidad España de Durango,Mexico,http://www.unes.edu.mx/
120,Universidad de Ciencias y Artes de Chiapas,Mexico,http://www.unicach.edu.mx/
121,Universidad de Comunicación Avanzada,Mexico,http://www.unica.edu.mx/
122,Universidad Kino,Mexico,http://www.unikino.mx/
123,Universidad del Mayab,Mexico,http://www.unimayab.edu.mx/
124,Universidad Mexicana,Mexico,http://www.unimex.edu.mx/
125,Universidad Tecnológica de México,Mexico,http://www.unitec.mx/
126,Universidad del Valle de Atemajac,Mexico,http://www.univa.mx/
127,Universidad Jóse Vasconcelos,Mexico,http://www.univas.edu.mx/
128,Universidad Chapultepéc,Mexico,http://www.univchapultepec.edu.mx/
129,Universidad de León,Mexico,http://www.universidaddeleon.edu.mx/
130,Universidad la Concordia,Mexico,http://www.universidadlaconcordia.edu.mx/
131,Universidad Motolinía del Pedegral,Mexico,http://www.universidadmotolinia.edu.mx/
132,Universidad Salesiana,Mexico,http://www.universidadsalesiana.edu.mx/
133,Universidad Autónoma de Veracruz Villa Rica,Mexico,http://www.univillarica.mx/
134,Universidad Latina,Mexico,http://www.unla.edu.mx/
135,Universidad de Norteamerica,Mexico,http://www.un.mx/
136,Universidad del Noroeste,Mexico,http://www.uno.mx/
137,Universidad Nuevo Mundo,Mexico,http://www.unum.edu.mx/
138,Universidad Obrera de Mexico,Mexico,http://www.uom.edu.mx/
139,Universidad Popular Autonóma del Estado de Puebla,Mexico,http://www.upaep.mx/
140,"Instituto Politécnico Nacional, Campus Guanajuato",Mexico,http://www.upiig.ipn.mx/
141,Universidad Panamericana,Mexico,http://www.up.mx/
142,Universidad Pedagógica Nacional,Mexico,http://www.upn.mx/
143,Universidad de Quintana Roo,Mexico,http://www.uqroo.mx/
144,Universidad Regional Miguel Hidalgo,Mexico,http://www.urmh.edu.mx/
145,Universidad Regiomontana,Mexico,http://www.ur.mx/
146,Universidad Regional del Sureste,Mexico,http://www.urse.edu.mx/
147,Universidad de la Sierra A.C.,Mexico,http://www.usac.edu.mx/
148,Universidad Simón Bolivar,Mexico,http://www.usb.edu.mx/
149,Universidad Santa Fe,Mexico,http://www.usf.com.mx/
150,Universidad de Sonora,Mexico,http://www.uson.mx/
151,Universidad Tecnologica de la Mixteca,Mexico,http://www.utm.mx/
152,Universidad Tecnologica de Nezahualcoyotl,Mexico,http://www.utneza.edu.mx/
153,Universidad del Valle del Bravo,Mexico,http://www.uvb.edu.mx/
154,Universidad Valle del Grijalva,Mexico,http://www.uvg1.net/
155,Universidad del Valle de México,Mexico,http://www.uvmnet.edu/
156,Universidad Veracruzana,Mexico,http://www.uv.mx/
157,Universidad del Valle de Toluca,Mexico,http://www.uvt.edu.mx/
158,Universidad Xicotepetl,Mexico,http://www.uxac.edu.mx/
159,Universidad Cristóbal Colón,Mexico,http://www.ver.ucc.mx/
160,Westhill University,Mexico,http://www.westhill.edu.mx/
161,Universidad Autónoma Metropolitana - Azcapotzalco,Mexico,https://azc.uam.mx/
162,Instituto Tecnológico de Occidente del Estado de Hidalgo,Mexico,http://www.itsoeh.edu.mx/
